longitude,latitude,WMO
degrees_east,degrees_north,
-157.38,4.297,5100897
-157.378,4.292,5100897
-157.377,4.273,5100897
-157.361,4.264,5100897
-157.355,4.256,5100897
-157.354,4.242,5100897
-157.335,4.208,5100897
-157.314,4.189,5100897
-157.309,4.153,5100897
-157.282,4.143,5100897
-157.248,4.106,5100897
-157.204,4.091,5100897
-157.17,4.055,5100897
-157.137,4.034,5100897
-157.101,3.996,5100897
-157.093,3.976,5100897
-157.111,3.938,5100897
-157.137,3.905,5100897
-157.142,3.873,5100897
-157.171,3.853,5100897
-157.169,3.829,5100897
-157.21,3.819,5100897
-157.23,3.79,5100897
-157.258,3.787,5100897
-157.264,3.768,5100897
-157.292,3.769,5100897
-157.306,3.757,5100897
-157.315,3.762,5100897
-157.324,3.762,5100897
-157.337,3.762,5100897
-157.342,3.744,5100897
-157.356,3.753,5100897
-157.361,3.772,5100897
-157.373,3.816,5100897
-157.372,3.876,5100897
-157.364,3.925,5100897
-157.357,3.992,5100897
-157.336,4.024,5100897
-157.298,4.08,5100897
-157.264,4.101,5100897
-157.22,4.12,5100897
-157.204,4.126,5100897
-157.174,4.143,5100897
-157.128,4.163,5100897
-157.104,4.183,5100897
-157.074,4.195,5100897
-157.061,4.205,5100897
-157.031,4.229,5100897
-157.015,4.255,5100897
-157.015,4.28,5100897
-157.006,4.303,5100897
-156.999,4.338,5100897
-156.999,4.387,5100897
-157.01,4.431,5100897
-157.0,4.476,5100897
-157.007,4.507,5100897
-156.996,4.586,5100897
-156.999,4.638,5100897
-157.014,4.703,5100897
-157.03,4.771,5100897
-157.031,4.864,5100897
-157.024,4.931,5100897
-155.146,4.97,5100897
-155.151,4.907,5100897
-155.14,4.881,5100897
-155.146,4.85,5100897
-155.15,4.818,5100897
-155.145,4.791,5100897
-155.133,4.77,5100897
-155.128,4.774,5100897
-155.134,4.767,5100897
-155.117,4.774,5100897
-155.085,4.768,5100897
-155.048,4.776,5100897
-155.018,4.777,5100897
-154.988,4.775,5100897
-154.932,4.77,5100897
-154.893,4.769,5100897
-154.854,4.761,5100897
-154.836,4.748,5100897
-154.813,4.738,5100897
-154.804,4.744,5100897
-154.794,4.746,5100897
-154.793,4.757,5100897
-154.771,4.762,5100897
-154.771,4.768,5100897
-154.759,4.797,5100897
-154.749,4.824,5100897
-154.725,4.85,5100897
-154.714,4.874,5100897
-154.699,4.889,5100897
-154.683,4.902,5100897
-154.689,4.899,5100897
-154.693,4.918,5100897
-154.698,4.943,5100897
-154.709,4.972,5100897
-158.486,4.986,5100869
-158.51,4.951,5100869
-158.547,4.94,5100869
-158.605,4.907,5100869
-158.647,4.917,5100869
-158.701,4.918,5100869
-158.756,4.926,5100869
-158.808,4.939,5100869
-158.855,4.965,5100869
-158.886,4.974,5100869
-158.926,4.993,5100869
-158.959,4.994,5100869
-158.981,4.986,5100869
-159.002,4.966,5100869
-159.041,4.958,5100869
-159.071,4.937,5100869
-159.083,4.934,5100869
-159.095,4.918,5100869
-159.12,4.913,5100869
-159.153,4.915,5100869
-159.143,4.923,5100869
-159.148,4.901,5100869
-159.159,4.907,5100869
-159.164,4.885,5100869
-159.159,4.853,5100869
-159.164,4.807,5100869
-159.179,4.771,5100869
-159.193,4.739,5100869
-159.188,4.73,5100869
-159.23,4.711,5100869
-159.242,4.735,5100869
-159.266,4.742,5100869
-159.252,4.75,5100869
-159.264,4.766,5100869
-159.252,4.772,5100869
-159.24,4.765,5100869
-159.216,4.75,5100869
-159.205,4.727,5100869
-159.203,4.699,5100869
-159.182,4.678,5100869
-159.164,4.648,5100869
-159.153,4.633,5100869
-159.139,4.612,5100869
-159.143,4.614,5100869
-159.143,4.601,5100869
-159.158,4.599,5100869
-159.152,4.612,5100869
-159.155,4.641,5100869
-159.143,4.647,5100869
-159.123,4.692,5100869
-159.104,4.727,5100869
-159.079,4.776,5100869
-159.049,4.795,5100869
-159.014,4.832,5100869
-158.975,4.842,5100869
-158.925,4.863,5100869
-158.875,4.878,5100869
-158.795,4.888,5100869
-158.737,4.897,5100869
-158.67,4.912,5100869
-158.593,4.925,5100869
-158.53,4.928,5100869
-158.462,4.909,5100869
-158.413,4.896,5100869
-158.374,4.892,5100869
-158.33,4.901,5100869
-158.325,4.894,5100869
-158.303,4.92,5100869
-158.269,4.928,5100869
-158.25,4.947,5100869
-158.216,4.954,5100869
-158.202,4.986,5100869
-155.674,4.964,5100869
-155.68,4.93,5100869
-155.703,4.887,5100869
-155.691,4.859,5100869
-155.681,4.815,5100869
-155.669,4.767,5100869
-155.676,4.741,5100869
-155.657,4.708,5100869
-155.643,4.687,5100869
-155.625,4.657,5100869
-155.624,4.626,5100869
-155.585,4.594,5100869
-155.565,4.569,5100869
-155.537,4.529,5100869
-155.526,4.501,5100869
-155.515,4.482,5100869
-155.485,4.469,5100869
-155.448,4.479,5100869
-155.396,4.483,5100869
-155.344,4.48,5100869
-155.282,4.471,5100869
-155.232,4.479,5100869
-155.163,4.487,5100869
-155.142,4.512,5100869
-155.096,4.534,5100869
-155.052,4.578,5100869
-155.009,4.612,5100869
-154.978,4.662,5100869
